// General information: 
//  MT Manager version: 2019.1.1 
//  XDA version: 2019.1.1 build 3010 rev 85319 built on 2019-03-01
// Device information: 
//  DeviceId: 00B485EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
10291		9.821167	0.482706	-0.367771	0.012396	0.059034	0.017102	-0.037925	-0.723651	0.022050	-0.688770
10292		9.773453	0.454992	-0.363814	0.004973	0.050956	0.017763	-0.037832	-0.723490	0.022096	-0.688943
10293		9.699595	0.409381	-0.411565	0.005188	0.040266	0.019123	-0.037741	-0.723365	0.022142	-0.689078
10294		9.677431	0.378613	-0.386331	0.004306	0.035642	0.024210	-0.037628	-0.723257	0.022214	-0.689195
10295		9.680110	0.368859	-0.334400	0.009705	0.041373	0.027756	-0.037493	-0.723127	0.022275	-0.689337
10296		9.680802	0.386825	-0.303325	-0.000956	0.027446	0.024804	-0.037396	-0.723046	0.022369	-0.689425
10297		9.702694	0.327494	-0.409651	0.001312	0.017015	0.021806	-0.037307	-0.723002	0.022438	-0.689473
10298		9.675343	0.355946	-0.451572	-0.007372	0.015581	0.019738	-0.037251	-0.722961	0.022537	-0.689516
10299		9.627942	0.348620	-0.423482	-0.006356	0.021738	0.021257	-0.037192	-0.722898	0.022630	-0.689581
10300		9.679219	0.341446	-0.375248	-0.004351	0.022207	0.014751	-0.037142	-0.722835	0.022700	-0.689648
10301		9.730438	0.334660	-0.327577	-0.005276	0.009745	0.012757	-0.037111	-0.722815	0.022761	-0.689669
10302		9.730485	0.333542	-0.327319	-0.006171	-0.004823	0.010606	-0.037082	-0.722844	0.022825	-0.689637
10303		9.706100	0.331626	-0.327614	-0.010175	-0.023709	0.011449	-0.037067	-0.722933	0.022902	-0.689543
10304		9.654210	0.359980	-0.373147	-0.010883	-0.040955	0.015586	-0.037037	-0.723086	0.023003	-0.689381
10305		9.602242	0.388227	-0.420094	-0.027997	-0.054707	0.014956	-0.037074	-0.723281	0.023156	-0.689169
10306		9.600869	0.390334	-0.449218	-0.038747	-0.052374	0.019715	-0.037129	-0.723468	0.023370	-0.688963
10307		9.577985	0.448933	-0.369767	-0.055850	-0.056171	0.026333	-0.037227	-0.723662	0.023661	-0.688743
10308		9.649762	0.452902	-0.402613	-0.067704	-0.061673	0.025121	-0.037367	-0.723876	0.023997	-0.688500
10309		9.720286	0.416344	-0.491560	-0.073203	-0.065036	0.019587	-0.037550	-0.724100	0.024324	-0.688242
10310		9.795106	0.345299	-0.512395	-0.075485	-0.068476	0.012885	-0.037760	-0.724335	0.024643	-0.687972
10311		9.871795	0.291311	-0.481365	-0.070189	-0.062344	0.012139	-0.037964	-0.724546	0.024934	-0.687728
10312		9.874759	0.258951	-0.443108	-0.066918	-0.066586	0.010645	-0.038151	-0.724777	0.025215	-0.687465
10313		9.827703	0.228468	-0.426939	-0.062446	-0.069288	0.014651	-0.038315	-0.725013	0.025488	-0.687196
10314		9.801099	0.254339	-0.452788	-0.060257	-0.071468	0.014423	-0.038465	-0.725261	0.025760	-0.686916
10315		9.751572	0.319581	-0.421329	-0.050355	-0.064509	0.024448	-0.038551	-0.725485	0.026026	-0.686664
10316		9.750749	0.341381	-0.423961	-0.049105	-0.071121	0.027145	-0.038617	-0.725733	0.026305	-0.686388
10317		9.728937	0.330521	-0.381090	-0.051327	-0.066765	0.027547	-0.038696	-0.725966	0.026585	-0.686126
10318		9.751941	0.376954	-0.381113	-0.051242	-0.069020	0.029532	-0.038761	-0.726206	0.026880	-0.685857
10319		9.748157	0.361677	-0.463491	-0.056743	-0.064369	0.028969	-0.038861	-0.726430	0.027185	-0.685602
10320		9.822209	0.313577	-0.481222	-0.057987	-0.063766	0.023637	-0.038971	-0.726650	0.027481	-0.685350
10321		9.773560	0.354054	-0.452533	-0.053606	-0.058117	0.028294	-0.039055	-0.726851	0.027771	-0.685122
10322		9.772503	0.331317	-0.486059	-0.060082	-0.059776	0.028346	-0.039156	-0.727057	0.028092	-0.684884
10323		9.796093	0.353797	-0.489538	-0.061105	-0.067934	0.026637	-0.039273	-0.727288	0.028402	-0.684619
10324		9.772444	0.370835	-0.466285	-0.066562	-0.061385	0.028407	-0.039398	-0.727497	0.028745	-0.684375
10325		9.722983	0.390962	-0.465664	-0.077302	-0.069021	0.028106	-0.039570	-0.727732	0.029117	-0.684100
10326		9.769988	0.394003	-0.498882	-0.087020	-0.068452	0.029525	-0.039764	-0.727961	0.029535	-0.683827
10327		9.722086	0.341807	-0.510067	-0.088142	-0.062159	0.031156	-0.039965	-0.728168	0.029955	-0.683577
10328		9.724922	0.331322	-0.468216	-0.092371	-0.072257	0.030453	-0.040175	-0.728409	0.030396	-0.683288
10329		9.772790	0.286402	-0.510662	-0.088033	-0.086666	0.024794	-0.040400	-0.728698	0.030795	-0.682949
10330		9.840769	0.298902	-0.595180	-0.083890	-0.082295	0.020693	-0.040612	-0.728975	0.031173	-0.682623
10331		9.844476	0.241418	-0.563113	-0.082990	-0.081787	0.015290	-0.040848	-0.729246	0.031519	-0.682303
10332		9.846115	0.212282	-0.551368	-0.078604	-0.088260	0.014604	-0.041062	-0.729544	0.031857	-0.681956
10333		9.844955	0.167124	-0.592056	-0.076392	-0.086461	0.016850	-0.041268	-0.729837	0.032187	-0.681615
10334		9.821327	0.185218	-0.570474	-0.063534	-0.080815	0.014738	-0.041427	-0.730112	0.032472	-0.681297
10335		9.796091	0.207496	-0.572512	-0.051682	-0.079380	0.013381	-0.041557	-0.730384	0.032704	-0.680987
10336		9.771779	0.181865	-0.582258	-0.043267	-0.069105	0.009641	-0.041662	-0.730624	0.032900	-0.680714
10337		9.794056	0.185780	-0.614309	-0.030179	-0.064129	0.013956	-0.041710	-0.730846	0.033057	-0.680464
10338		9.769349	0.184155	-0.618630	-0.017470	-0.058123	0.007532	-0.041729	-0.731053	0.033155	-0.680235
10339		9.797274	0.151751	-0.581658	-0.002325	-0.048948	0.009963	-0.041697	-0.731233	0.033201	-0.680043
10340		9.750502	0.121116	-0.562877	0.008413	-0.039279	0.010419	-0.041614	-0.731381	0.033219	-0.679887
10341		9.705513	0.086410	-0.519721	0.019182	-0.041874	0.007651	-0.041509	-0.731541	0.033182	-0.679723
10342		9.703495	0.089744	-0.548577	0.038799	-0.057724	0.005598	-0.041331	-0.731759	0.033080	-0.679504
10343		9.725718	0.093957	-0.580410	0.045304	-0.068315	0.002293	-0.041149	-0.732014	0.032937	-0.679248
10344		9.768638	0.107067	-0.662356	0.060505	-0.065355	0.004166	-0.040897	-0.732262	0.032756	-0.679004
10345		9.695723	0.172361	-0.627925	0.077850	-0.078722	0.000232	-0.040602	-0.732558	0.032495	-0.678716
10346		9.767427	0.221999	-0.633010	0.082308	-0.085381	0.001671	-0.040278	-0.732878	0.032231	-0.678401
10347		9.811492	0.254645	-0.688678	0.082414	-0.079502	0.006497	-0.039944	-0.733177	0.031977	-0.678110
10348		9.756253	0.288284	-0.761359	0.079169	-0.085346	0.005044	-0.039620	-0.733496	0.031737	-0.677795
10349		9.783334	0.303983	-0.719763	0.084551	-0.087608	0.003566	-0.039285	-0.733823	0.031465	-0.677473
10350		9.736338	0.273408	-0.704985	0.085753	-0.087910	0.006745	-0.038931	-0.734151	0.031208	-0.677150
10351		9.784777	0.249299	-0.721578	0.082644	-0.090001	0.009943	-0.038583	-0.734484	0.030967	-0.676821
