// General information: 
//  MT Manager version: 2019.1.1 
//  XDA version: 2019.1.1 build 3010 rev 85319 built on 2019-03-01
// Device information: 
//  DeviceId: 00B485ED
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
10291		4.444138	-1.324505	8.604949	-0.010657	0.016216	0.007755	0.945229	-0.131678	-0.219219	-0.202847
10292		4.411029	-1.329385	8.591991	-0.010855	0.017737	0.008020	0.945239	-0.131719	-0.219135	-0.202860
10293		4.414522	-1.371726	8.635668	-0.007671	0.016785	0.007232	0.945255	-0.131741	-0.219063	-0.202853
10294		4.419057	-1.317543	8.563698	-0.006511	0.017237	0.005469	0.945265	-0.131757	-0.218990	-0.202872
10295		4.396177	-1.327230	8.572339	-0.009165	0.016499	0.007492	0.945280	-0.131786	-0.218917	-0.202865
10296		4.436225	-1.329782	8.608218	-0.006573	0.020111	0.007501	0.945298	-0.131798	-0.218829	-0.202864
10297		4.440538	-1.353160	8.600790	-0.012350	0.017450	0.008278	0.945312	-0.131843	-0.218748	-0.202858
10298		4.417317	-1.362991	8.609562	-0.005806	0.023605	0.006270	0.945334	-0.131849	-0.218642	-0.202869
10299		4.409248	-1.341699	8.618595	-0.008265	0.021346	0.008026	0.945354	-0.131870	-0.218548	-0.202861
10300		4.391970	-1.373596	8.619281	-0.007435	0.021966	0.004763	0.945370	-0.131885	-0.218450	-0.202883
10301		4.412409	-1.346663	8.561031	-0.005279	0.021914	0.007505	0.945393	-0.131890	-0.218356	-0.202876
10302		4.377846	-1.369938	8.599468	-0.004448	0.022534	0.004242	0.945410	-0.131889	-0.218260	-0.202897
10303		4.401470	-1.344784	8.622089	-0.005217	0.019039	0.005471	0.945428	-0.131895	-0.218181	-0.202897
10304		4.410875	-1.331728	8.593338	-0.009261	0.021848	0.003519	0.945439	-0.131921	-0.218081	-0.202937
10305		4.410022	-1.390772	8.607370	-0.002999	0.016112	0.006182	0.945455	-0.131920	-0.218018	-0.202930
10306		4.386224	-1.341888	8.602740	-0.006381	0.018584	0.007231	0.945468	-0.131937	-0.217936	-0.202944
10307		4.363282	-1.351339	8.611364	-0.005155	0.016163	0.003438	0.945480	-0.131944	-0.217871	-0.202952
10308		4.393324	-1.348254	8.625701	-0.001837	0.016563	0.004421	0.945492	-0.131938	-0.217806	-0.202973
10309		4.393058	-1.329686	8.575191	-0.004628	0.014473	0.004673	0.945504	-0.131945	-0.217750	-0.202974
10310		4.365084	-1.375116	8.605127	-0.004825	0.015994	0.004939	0.945514	-0.131955	-0.217683	-0.202992
