// General information: 
//  MT Manager version: 2019.1.1 
//  XDA version: 2019.1.1 build 3010 rev 85319 built on 2019-03-01
// Device information: 
//  DeviceId: 00B485FC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
10291		4.841888	1.112737	8.403701	-0.000799	0.021950	-0.009943	-0.958843	-0.073951	0.256440	-0.096901
10292		4.846537	1.111219	8.428244	-0.003773	0.023557	-0.009471	-0.958870	-0.073933	0.256354	-0.096879
10293		4.837654	1.113227	8.406074	-0.002166	0.026601	-0.009594	-0.958900	-0.073922	0.256252	-0.096861
10294		4.816942	1.088528	8.436146	-0.000606	0.028106	-0.009761	-0.958931	-0.073917	0.256144	-0.096844
10295		4.808006	1.090671	8.413983	-0.002262	0.023521	-0.009684	-0.958957	-0.073907	0.256056	-0.096824
10296		4.859325	1.087228	8.425141	0.002368	0.026498	-0.010232	-0.958985	-0.073918	0.255953	-0.096808
10297		4.853176	1.138234	8.405974	-0.000511	0.031183	-0.009671	-0.959020	-0.073912	0.255828	-0.096793
10298		4.818251	1.161479	8.469269	-0.002185	0.032811	-0.010924	-0.959059	-0.073899	0.255696	-0.096771
10299		4.799089	1.116523	8.421170	-0.006510	0.032854	-0.008777	-0.959098	-0.073862	0.255566	-0.096755
10300		4.824841	1.089316	8.438065	-0.005256	0.031338	-0.010545	-0.959135	-0.073834	0.255444	-0.096730
10301		4.836881	1.110087	8.487901	-0.005095	0.029741	-0.009079	-0.959170	-0.073806	0.255329	-0.096712
10302		4.819538	1.089594	8.441059	-0.000768	0.029697	-0.011224	-0.959204	-0.073802	0.255211	-0.096689
10303		4.810312	1.091796	8.419071	-0.002280	0.029730	-0.011013	-0.959238	-0.073790	0.255094	-0.096665
10304		4.847805	1.092034	8.383832	0.000468	0.034394	-0.014320	-0.959279	-0.073792	0.254952	-0.096630
10305		4.840713	1.143082	8.365215	-0.002226	0.045232	-0.013579	-0.959335	-0.073775	0.254759	-0.096602
10306		4.819543	1.142487	8.397763	-0.009758	0.053146	-0.013811	-0.959403	-0.073719	0.254533	-0.096567
10307		4.769485	1.168808	8.415144	-0.006321	0.052965	-0.011208	-0.959468	-0.073675	0.254306	-0.096548
10308		4.771452	1.166850	8.441211	-0.009138	0.052971	-0.009277	-0.959533	-0.073617	0.254083	-0.096536
10309		4.797589	1.064495	8.478291	-0.010491	0.051406	-0.007602	-0.959596	-0.073550	0.253867	-0.096529
10310		4.818147	1.087463	8.475669	-0.007926	0.049914	-0.011088	-0.959657	-0.073500	0.253657	-0.096508
10311		4.810902	1.038727	8.475209	-0.008384	0.048487	-0.014156	-0.959719	-0.073453	0.253451	-0.096471
10312		4.817061	1.041585	8.424120	-0.002495	0.049952	-0.016453	-0.959781	-0.073436	0.253235	-0.096430
10313		4.796867	1.065808	8.458193	-0.001003	0.056130	-0.017987	-0.959852	-0.073425	0.252987	-0.096387
10314		4.808799	1.067432	8.430945	-0.001321	0.059318	-0.020918	-0.959928	-0.073413	0.252724	-0.096330
10315		4.806459	1.117282	8.436705	0.004523	0.059245	-0.023256	-0.960003	-0.073433	0.252455	-0.096270
10316		4.679999	1.173996	8.451693	0.000280	0.062357	-0.021032	-0.960082	-0.073429	0.252177	-0.096217
10317		4.756509	1.144076	8.480526	0.000437	0.060759	-0.019566	-0.960158	-0.073424	0.251905	-0.096170
10318		4.697777	1.148623	8.472901	-0.002228	0.059168	-0.016178	-0.960232	-0.073404	0.251644	-0.096136
10319		4.695634	1.197752	8.478540	-0.003674	0.054525	-0.014599	-0.960299	-0.073376	0.251407	-0.096105
10320		4.740284	1.121187	8.487148	-0.006476	0.048319	-0.011352	-0.960358	-0.073335	0.251203	-0.096084
