// General information: 
//  MT Manager version: 2019.1.1 
//  XDA version: 2019.1.1 build 3010 rev 85319 built on 2019-03-01
// Device information: 
//  DeviceId: 00B485FF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
10291		9.644897	0.481841	-1.529937	-0.128457	0.009696	0.048914	-0.487857	0.452725	0.622132	0.412296
10292		9.591449	0.545136	-1.689860	-0.078933	0.011765	0.048709	-0.487792	0.453052	0.621853	0.412434
10293		9.591985	0.541828	-1.687877	-0.012751	0.024377	0.036417	-0.487895	0.453144	0.621703	0.412438
10294		9.670339	0.600322	-1.508634	-0.030737	0.023580	0.039569	-0.487956	0.453300	0.621516	0.412476
10295		9.667595	0.706106	-1.481963	-0.035917	0.026458	0.041696	-0.488024	0.453461	0.621301	0.412542
10296		9.654892	0.662013	-1.543242	-0.078718	0.024503	0.043456	-0.487988	0.453746	0.621002	0.412721
10297		9.601151	0.540824	-1.630156	-0.055965	0.030777	0.040545	-0.488022	0.453944	0.620737	0.412861
10298		9.611693	0.555236	-1.556592	-0.056391	0.027568	0.040797	-0.488041	0.454160	0.620483	0.412984
10299		9.649707	0.588792	-1.491305	-0.067821	0.034919	0.039406	-0.488059	0.454375	0.620185	0.413173
10300		9.739442	0.539644	-1.513520	-0.052939	0.044843	0.041930	-0.488142	0.454551	0.619893	0.413321
10301		9.644538	0.650541	-1.421510	-0.111222	0.053289	0.054126	-0.488150	0.454882	0.619425	0.413647
10302		9.594554	0.552653	-1.513307	-0.155282	0.031897	0.058535	-0.487995	0.455388	0.618915	0.414038
10303		9.610323	0.466424	-1.719676	-0.136398	0.029041	0.053992	-0.487870	0.455829	0.618455	0.414388
10304		9.655979	0.563669	-1.695795	-0.066869	0.034815	0.049044	-0.487904	0.456080	0.618142	0.414538
10305		9.635828	0.552092	-1.636386	-0.044080	0.041262	0.049091	-0.488015	0.456254	0.617855	0.414643
10306		9.642849	0.541481	-1.555414	-0.013402	0.044244	0.046622	-0.488195	0.456347	0.617636	0.414656
10307		9.628670	0.522950	-1.419058	0.010013	0.043843	0.042728	-0.488423	0.456362	0.617470	0.414616
10308		9.561350	0.555167	-1.414666	0.003461	0.035375	0.041466	-0.488603	0.456415	0.617320	0.414571
10309		9.633723	0.538333	-1.418699	-0.008077	0.019751	0.038621	-0.488707	0.456511	0.617185	0.414543
10310		9.682962	0.561383	-1.480732	-0.021418	0.013005	0.042662	-0.488762	0.456674	0.617035	0.414521
10311		9.697668	0.536283	-1.552272	-0.021659	0.011468	0.044209	-0.488822	0.456837	0.616880	0.414503
10312		9.708658	0.487565	-1.617868	-0.017724	0.010734	0.047864	-0.488889	0.457012	0.616732	0.414451
10313		9.675669	0.567737	-1.606576	-0.005533	0.019348	0.043890	-0.489009	0.457119	0.616591	0.414401
10314		9.664601	0.572482	-1.478895	-0.011790	0.014324	0.048066	-0.489101	0.457272	0.616446	0.414339
10315		9.643937	0.560019	-1.421575	-0.013375	0.024695	0.053383	-0.489239	0.457417	0.616254	0.414301
10316		9.628132	0.606159	-1.429465	-0.010386	0.015826	0.053410	-0.489350	0.457581	0.616097	0.414224
10317		9.678182	0.645707	-1.521137	-0.018813	0.014339	0.052031	-0.489440	0.457755	0.615922	0.414183
10318		9.634711	0.673263	-1.521242	-0.027066	0.014503	0.051943	-0.489506	0.457958	0.615736	0.414158
10319		9.684235	0.695499	-1.583403	-0.044149	0.010022	0.050740	-0.489522	0.458201	0.615522	0.414189
10320		9.706053	0.699264	-1.637337	-0.053487	0.011953	0.047872	-0.489512	0.458462	0.615296	0.414249
10321		9.654349	0.663222	-1.595819	-0.059127	0.011615	0.050214	-0.489499	0.458735	0.615048	0.414329
10322		9.689067	0.689261	-1.554999	-0.052530	0.019896	0.048619	-0.489516	0.458980	0.614802	0.414402
10323		9.641289	0.676598	-1.518638	-0.061940	0.021940	0.048589	-0.489526	0.459235	0.614526	0.414519
