// General information: 
//  MT Manager version: 2019.1.1 
//  XDA version: 2019.1.1 build 3010 rev 85319 built on 2019-03-01
// Device information: 
//  DeviceId: 00B48609
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
10291		9.361006	1.323356	-2.756384	0.032915	0.079910	0.049193	-0.527211	0.258998	0.762029	0.272543
10292		9.385061	1.327162	-2.784303	0.029399	0.088449	0.057688	-0.527647	0.259067	0.761762	0.272382
10293		9.343589	1.294616	-2.759065	0.025334	0.102064	0.061572	-0.528142	0.259141	0.761441	0.272250
10294		9.347608	1.274522	-2.770015	0.024122	0.105562	0.064750	-0.528645	0.259230	0.761111	0.272111
10295		9.353968	1.274981	-2.706397	0.027344	0.105359	0.058291	-0.529152	0.259279	0.760786	0.271986
10296		9.388105	1.244925	-2.651180	0.020289	0.105667	0.063820	-0.529650	0.259374	0.760452	0.271863
10297		9.409387	1.281394	-2.669469	0.024870	0.115959	0.066574	-0.530204	0.259457	0.760082	0.271738
10298		9.445126	1.210178	-2.673281	0.033617	0.134389	0.063605	-0.530827	0.259479	0.759688	0.271600
10299		9.486970	1.125934	-2.607606	0.037282	0.155561	0.059972	-0.531541	0.259451	0.759237	0.271494
10300		9.487297	0.982968	-2.530980	0.038364	0.161800	0.043615	-0.532250	0.259349	0.758799	0.271426
10301		9.448143	0.912271	-2.559860	0.049487	0.179369	0.019212	-0.533018	0.259100	0.758350	0.271413
10302		9.329972	0.950093	-2.454516	0.056523	0.200920	-0.008940	-0.533833	0.258700	0.757893	0.271468
10303		9.167072	1.134780	-2.388704	0.050024	0.185346	-0.025447	-0.534573	0.258265	0.757481	0.271577
10304		9.163580	1.387308	-2.396654	0.045492	0.127593	-0.021657	-0.535076	0.257938	0.757222	0.271619
10305		9.171555	1.511115	-2.469368	0.032807	0.098898	-0.009258	-0.535480	0.257726	0.756998	0.271647
10306		9.194207	1.499552	-2.570999	0.009979	0.077400	0.002652	-0.535777	0.257651	0.756797	0.271694
10307		9.286988	1.502652	-2.711102	0.010623	0.071254	0.009142	-0.536069	0.257599	0.756598	0.271720
10308		9.463215	1.426289	-2.854771	0.016052	0.070700	0.018337	-0.536367	0.257575	0.756405	0.271693
10309		9.531483	1.438207	-2.974124	0.027823	0.060342	0.023189	-0.536655	0.257549	0.756241	0.271605
10310		9.465929	1.413203	-2.897168	0.032493	0.071387	0.028801	-0.536990	0.257519	0.756055	0.271488
10311		9.280749	1.346073	-2.854784	0.031511	0.068380	0.030928	-0.537327	0.257498	0.755864	0.271374
10312		9.265275	1.333441	-2.725791	0.024519	0.071200	0.040153	-0.537665	0.257533	0.755654	0.271255
10313		9.326685	1.282034	-2.627144	0.012727	0.062269	0.040946	-0.537964	0.257607	0.755445	0.271175
10314		9.329391	1.135638	-2.437197	0.000532	0.060946	0.040900	-0.538234	0.257723	0.755229	0.271132
10315		9.419725	1.061084	-2.292162	-0.011732	0.063247	0.042777	-0.538506	0.257876	0.754979	0.271142
10316		9.443530	1.101210	-2.226886	-0.011423	0.053123	0.039831	-0.538729	0.258030	0.754769	0.271137
10317		9.527356	1.032870	-2.204243	-0.013118	0.053747	0.031682	-0.538949	0.258156	0.754556	0.271172
10318		9.556679	0.999484	-2.206945	-0.015444	0.047334	0.028397	-0.539130	0.258285	0.754370	0.271207
10319		9.510273	0.977945	-2.220531	-0.009531	0.046933	0.024204	-0.539318	0.258383	0.754190	0.271242
10320		9.472698	1.073467	-2.283254	-0.009431	0.041505	0.021314	-0.539475	0.258476	0.754036	0.271267
10321		9.462960	1.138446	-2.354104	-0.021400	0.035463	0.021167	-0.539602	0.258607	0.753875	0.271339
10322		9.389936	1.121460	-2.401749	-0.028673	0.032498	0.019964	-0.539699	0.258759	0.753721	0.271428
10323		9.390871	1.120412	-2.398579	-0.031028	0.027888	0.017633	-0.539783	0.258911	0.753570	0.271537
10324		9.363219	1.129828	-2.462522	-0.038264	0.023111	0.015460	-0.539826	0.259084	0.753434	0.271663
10325		9.392393	1.119203	-2.393177	-0.043153	0.022957	0.015624	-0.539871	0.259272	0.753281	0.271817
10326		9.411645	1.161896	-2.418481	-0.047069	0.025847	0.013686	-0.539912	0.259458	0.753127	0.271985
10327		9.473666	1.250510	-2.472739	-0.046895	0.022952	0.014584	-0.539952	0.259649	0.752971	0.272154
10328		9.566433	1.288352	-2.521015	-0.062860	0.023444	0.014421	-0.539964	0.259885	0.752802	0.272376
10329		9.528256	1.208812	-2.495143	-0.077648	0.034598	0.023558	-0.540019	0.260178	0.752561	0.272652
10330		9.482837	1.196459	-2.455715	-0.077336	0.024463	0.020581	-0.540023	0.260475	0.752361	0.272912
10331		9.459015	1.173296	-2.525846	-0.082425	0.027252	0.019871	-0.540043	0.260774	0.752138	0.273202
10332		9.472144	1.270319	-2.556717	-0.095744	0.028401	0.024818	-0.540044	0.261132	0.751896	0.273524
10333		9.455373	1.213848	-2.545257	-0.107876	0.027886	0.027588	-0.540037	0.261534	0.751628	0.273890
10334		9.462809	1.160172	-2.534791	-0.111501	0.026833	0.028425	-0.540016	0.261951	0.751364	0.274258
10335		9.443274	1.123952	-2.536601	-0.114406	0.035376	0.028241	-0.540031	0.262362	0.751064	0.274656
10336		9.400696	1.091588	-2.483339	-0.106867	0.030017	0.027446	-0.540026	0.262759	0.750798	0.275013
10337		9.372397	1.149267	-2.430385	-0.116813	0.035246	0.030737	-0.540046	0.263181	0.750491	0.275409
10338		9.392601	1.212452	-2.378899	-0.119210	0.030716	0.028407	-0.540028	0.263615	0.750204	0.275810
10339		9.438618	1.251570	-2.369161	-0.116683	0.030656	0.030706	-0.540026	0.264049	0.749907	0.276206
10340		9.522342	1.172271	-2.368045	-0.121808	0.033520	0.030036	-0.540017	0.264491	0.749606	0.276615
10341		9.507410	1.108677	-2.322818	-0.122982	0.031652	0.030306	-0.540008	0.264939	0.749300	0.277034
10342		9.486914	1.085643	-2.304523	-0.104774	0.030667	0.025226	-0.540005	0.265320	0.749036	0.277390
10343		9.513776	1.062047	-2.342197	-0.086864	0.033686	0.017417	-0.540035	0.265613	0.748792	0.277710
10344		9.459297	1.123973	-2.321628	-0.076204	0.042450	0.017992	-0.540103	0.265874	0.748544	0.277995
10345		9.481923	1.147322	-2.331110	-0.068820	0.035608	0.011468	-0.540158	0.266095	0.748325	0.278268
10346		9.460312	1.118754	-2.367191	-0.064066	0.036859	0.009468	-0.540210	0.266297	0.748120	0.278524
10347		9.458599	1.139792	-2.376192	-0.072596	0.035682	0.010446	-0.540258	0.266528	0.747894	0.278816
10348		9.433467	1.145070	-2.405034	-0.078656	0.033660	0.010850	-0.540280	0.266780	0.747676	0.279118
10349		9.456012	1.169084	-2.414715	-0.088544	0.035296	0.012188	-0.540308	0.267057	0.747429	0.279460
10350		9.405857	1.204195	-2.347419	-0.107872	0.029067	0.014582	-0.540280	0.267409	0.747176	0.279854
10351		9.400588	1.259320	-2.348867	-0.131130	0.030148	0.019909	-0.540243	0.267838	0.746872	0.280326
10352		9.423175	1.283485	-2.358188	-0.139483	0.028630	0.025607	-0.540185	0.268318	0.746562	0.280805
10353		9.450187	1.260895	-2.395567	-0.146809	0.028374	0.028253	-0.540128	0.268826	0.746229	0.281311
10354		9.557837	1.185228	-2.395885	-0.144620	0.028046	0.023038	-0.540057	0.269310	0.745916	0.281816
10355		9.541517	1.116834	-2.406076	-0.150783	0.027934	0.024475	-0.539988	0.269818	0.745581	0.282347
10356		9.530376	1.007479	-2.390569	-0.125269	0.029014	0.017779	-0.539938	0.270228	0.745298	0.282796
10357		9.480954	1.029431	-2.343907	-0.105963	0.030968	0.010606	-0.539923	0.270553	0.745038	0.283202
10358		9.479969	1.056927	-2.298596	-0.096320	0.029806	0.004603	-0.539897	0.270833	0.744810	0.283581
10359		9.506599	1.053592	-2.262068	-0.084957	0.024258	0.004744	-0.539876	0.271086	0.744605	0.283918
10360		9.533171	1.049915	-2.225836	-0.069050	0.026452	0.004038	-0.539873	0.271294	0.744426	0.284194
10361		9.512061	1.028187	-2.209210	-0.064401	0.024502	-0.004658	-0.539868	0.271460	0.744260	0.284481
10362		9.510013	1.050666	-2.218891	-0.057347	0.029602	-0.007074	-0.539878	0.271591	0.744103	0.284748
10363		9.524385	1.137814	-2.268053	-0.049713	0.019771	-0.012860	-0.539864	0.271687	0.743982	0.284997
10364		9.483176	1.286525	-2.300443	-0.051034	0.025084	-0.008616	-0.539864	0.271800	0.743848	0.285239
10365		9.484527	1.275691	-2.318326	-0.053311	0.021220	-0.008195	-0.539858	0.271922	0.743711	0.285491
10366		9.443405	1.205400	-2.330439	-0.050697	0.019233	-0.006939	-0.539838	0.272048	0.743592	0.285720
10367		9.448915	1.166007	-2.302401	-0.038473	0.019639	-0.009704	-0.539844	0.272126	0.743483	0.285918
10368		9.475416	1.144552	-2.342280	-0.012525	0.020786	-0.008924	-0.539878	0.272138	0.743417	0.286013
10369		9.469731	1.199789	-2.344881	0.001841	0.026198	-0.013938	-0.539959	0.272078	0.743355	0.286079
10370		9.508402	1.288890	-2.394768	0.009088	0.028341	-0.015524	-0.540042	0.271996	0.743308	0.286123
10371		9.489763	1.246008	-2.366155	0.010663	0.025077	-0.011223	-0.540132	0.271930	0.743256	0.286150
10372		9.471139	1.202896	-2.337593	0.015417	0.028093	-0.012217	-0.540227	0.271844	0.743215	0.286161
10373		9.474203	1.183081	-2.322361	0.024022	0.027429	-0.014183	-0.540338	0.271727	0.743180	0.286150
10374		9.494376	1.232669	-2.292011	0.035202	0.026575	-0.013888	-0.540452	0.271583	0.743173	0.286091
10375		9.501976	1.166280	-2.305621	0.044885	0.029673	-0.015041	-0.540599	0.271404	0.743163	0.286010
10376		9.501475	1.179418	-2.282662	0.051123	0.028760	-0.014572	-0.540741	0.271210	0.743174	0.285896
10377		9.484304	1.128028	-2.221109	0.061309	0.020546	-0.017085	-0.540874	0.270986	0.743216	0.285746
10378		9.500211	1.205664	-2.237733	0.058209	0.032082	-0.017970	-0.541034	0.270756	0.743233	0.285620
10379		9.480426	1.175191	-2.188962	0.062379	0.020041	-0.021115	-0.541160	0.270517	0.743282	0.285480
10380		9.498688	1.232471	-2.193466	0.052769	0.017638	-0.017110	-0.541259	0.270323	0.743329	0.285354
10381		9.529322	1.181724	-2.187696	0.045338	0.018437	-0.016362	-0.541366	0.270147	0.743353	0.285255
10382		9.527486	1.184710	-2.274502	0.048999	0.017717	-0.018147	-0.541459	0.269960	0.743395	0.285146
10383		9.473987	1.220956	-2.298382	0.052659	0.017001	-0.019930	-0.541562	0.269758	0.743436	0.285034
10384		9.452937	1.203548	-2.229699	0.051604	0.015752	-0.016873	-0.541653	0.269571	0.743485	0.284909
10385		9.450384	1.224701	-2.242201	0.054289	0.007646	-0.021464	-0.541724	0.269365	0.743559	0.284779
10386		9.519494	1.266921	-2.235680	0.051902	0.011707	-0.014186	-0.541803	0.269192	0.743616	0.284639
10387		9.540187	1.303387	-2.227942	0.034760	0.011179	-0.011305	-0.541872	0.269077	0.743637	0.284563
10388		9.496274	1.275557	-2.125659	0.021660	0.004024	-0.008543	-0.541889	0.269019	0.743666	0.284510
10389		9.509773	1.155145	-2.135672	0.016836	0.000304	-0.010397	-0.541895	0.268972	0.743690	0.284481
10390		9.468020	1.077873	-2.204596	0.015710	-0.001644	-0.010191	-0.541881	0.268932	0.743727	0.284447
10391		9.491425	1.099862	-2.130653	0.020656	-0.005864	-0.015190	-0.541862	0.268865	0.743779	0.284411
10392		9.505451	1.190976	-2.129642	0.028016	-0.004811	-0.014913	-0.541846	0.268778	0.743849	0.284341
10393		9.521576	1.256039	-2.170138	0.035477	-0.007386	-0.016639	-0.541841	0.268662	0.743930	0.284249
10394		9.540310	1.300551	-2.197565	0.027957	-0.002986	-0.013906	-0.541833	0.268576	0.743994	0.284179
10395		9.473497	1.239065	-2.191765	0.024685	-0.012462	-0.015287	-0.541794	0.268506	0.744070	0.284120
10396		9.451964	1.198223	-2.254865	0.039421	-0.014662	-0.019577	-0.541750	0.268383	0.744189	0.284008
10397		9.509335	1.135843	-2.184808	0.049072	-0.011508	-0.020712	-0.541739	0.268225	0.744304	0.283876
10398		9.531028	1.141440	-2.275107	0.057699	-0.013928	-0.023637	-0.541717	0.268036	0.744452	0.283709
10399		9.519353	1.242748	-2.254302	0.053974	-0.011375	-0.020846	-0.541716	0.267860	0.744574	0.283557
10400		9.491983	1.261162	-2.268486	0.042897	-0.009891	-0.018333	-0.541696	0.267725	0.744683	0.283435
10401		9.456646	1.340948	-2.321992	0.028509	-0.016085	-0.016195	-0.541650	0.267643	0.744776	0.283357
10402		9.462509	1.287819	-2.318036	0.004025	-0.013424	-0.008769	-0.541578	0.267656	0.744827	0.283347
10403		9.450555	1.177887	-2.307868	0.001779	-0.017325	-0.008349	-0.541502	0.267679	0.744875	0.283345
10404		9.500663	1.158156	-2.351891	0.006749	-0.019030	-0.009496	-0.541412	0.267688	0.744947	0.283321
10405		9.521705	1.182144	-2.367332	0.013964	-0.016832	-0.011063	-0.541349	0.267667	0.745015	0.283281
10406		9.489496	1.247023	-2.353433	0.018692	-0.013780	-0.012056	-0.541291	0.267628	0.745092	0.283226
10407		9.462645	1.246437	-2.442445	0.021261	-0.013941	-0.009789	-0.541251	0.267588	0.745160	0.283161
10408		9.464875	1.226596	-2.430766	0.018499	-0.010834	-0.012898	-0.541203	0.267542	0.745230	0.283112
